sim	reg_pct
1	13.11
2	16.44
3	14.89
4	15.56
5	20.44
6	16.44
7	13.11
8	19.56
9	18.89
10	12.67
11	12.67
12	15.78
13	13.78
14	19.33
15	13.78
16	19.56
17	15.56
18	17.11
19	19.78
20	12.67
21	13.78
22	14.00
23	18.44
24	16.22
25	17.33
26	13.56
27	18.44
28	19.78
29	11.33
30	14.67
31	12.22
32	17.56
33	15.33
34	15.33
35	14.00
36	19.78
37	13.78
38	9.78
39	13.33
40	15.56
41	14.22
42	16.00
43	15.11
44	16.89
45	13.56
46	13.78
47	14.89
48	11.78
49	18.22
50	15.33
51	19.78
52	17.33
53	14.67
54	17.78
55	14.67
56	15.33
57	16.67
58	17.78
59	14.67
60	13.78
61	16.67
62	18.44
63	15.56
64	15.56
65	21.56
66	13.56
67	14.67
68	15.11
69	14.22
70	18.67
71	22.89
72	16.00
73	14.22
74	16.44
75	16.44
76	11.56
77	14.22
78	13.78
79	14.22
80	14.44
81	10.44
82	15.33
83	16.22
84	15.56
85	20.00
86	17.78
87	15.78
88	12.00
89	14.67
90	13.11
91	18.44
92	12.00
93	17.78
94	15.56
95	14.00
96	10.67
97	15.56
98	18.89
99	14.44
100	14.00
101	16.22
102	24.44
103	16.44
104	13.11
105	17.11
106	14.67
107	16.22
108	13.78
109	17.33
110	13.56
111	15.33
112	16.89
113	14.00
114	11.11
115	17.56
116	17.33
117	15.33
118	13.11
119	18.67
120	15.78
121	16.89
122	13.11
123	16.44
124	14.67
125	14.22
126	18.00
127	15.11
128	14.67
129	17.56
130	16.22
131	14.00
132	15.11
133	22.00
134	14.22
135	17.33
136	15.33
137	15.11
138	16.67
139	17.33
140	11.78
141	12.89
142	16.89
143	16.89
144	14.89
145	13.78
146	17.11
147	16.44
148	16.44
149	14.67
150	14.22
151	15.33
152	13.11
153	13.33
154	14.00
155	14.67
156	15.78
157	17.11
158	14.67
159	14.44
160	17.56
161	15.78
162	16.89
163	11.78
164	11.56
165	15.78
166	16.44
167	13.11
168	11.33
169	17.11
170	16.67
171	20.67
172	13.78
173	14.00
174	16.89
175	14.67
176	16.22
177	16.67
178	10.44
179	16.22
180	11.56
181	15.78
182	17.33
183	16.89
184	14.00
185	10.44
186	15.11
187	17.33
188	14.00
189	11.78
190	21.33
191	19.78
192	18.89
193	17.33
194	18.44
195	11.78
196	18.00
197	12.00
198	13.11
199	20.44
200	15.11
201	12.89
202	12.67
203	12.89
204	15.33
205	14.89
206	15.11
207	13.33
208	13.56
209	15.78
210	25.78
211	14.67
212	16.89
213	15.11
214	16.22
215	15.78
216	13.56
217	11.56
218	12.22
219	15.33
220	12.89
221	22.44
222	14.00
223	18.67
224	21.78
225	13.78
226	14.67
227	17.56
228	14.00
229	16.44
230	18.22
231	18.44
232	12.22
233	12.44
234	13.56
235	14.67
236	15.78
237	14.00
238	10.44
239	12.67
240	21.33
241	8.44
242	20.44
243	17.11
244	19.33
245	11.56
246	14.44
247	18.89
248	13.78
249	16.00
250	10.67
251	14.44
252	17.11
253	14.44
254	17.33
255	18.44
256	18.67
257	14.00
258	12.44
259	16.00
260	14.89
261	13.33
262	14.89
263	18.00
264	12.00
265	13.11
266	11.78
267	16.44
268	17.33
269	14.67
270	12.44
271	16.00
272	14.89
273	12.67
274	15.11
275	15.78
276	20.44
277	12.89
278	16.44
279	17.78
280	18.67
281	12.22
282	11.11
283	16.44
284	12.89
285	16.00
286	15.33
287	16.89
288	14.89
289	15.78
290	16.22
291	13.56
292	17.56
293	16.67
294	12.89
295	14.44
296	17.56
297	16.67
298	17.33
299	12.44
300	16.00
301	13.33
302	17.56
303	16.67
304	16.67
305	14.00
306	16.89
307	16.44
308	14.44
309	14.89
310	14.44
311	13.11
312	14.44
313	22.00
314	19.33
315	19.11
316	14.89
317	14.44
318	14.00
319	18.89
320	12.22
321	15.78
322	11.78
323	17.33
324	14.89
325	16.44
326	10.22
327	14.67
328	11.56
329	17.33
330	16.22
331	11.56
332	16.89
333	12.89
334	18.44
335	19.11
336	16.44
337	12.67
338	11.33
339	13.33
340	12.44
341	18.89
342	13.56
343	15.78
344	16.00
345	21.11
346	15.78
347	12.00
348	15.11
349	17.78
350	18.22
351	14.00
352	16.22
353	19.33
354	16.22
355	19.56
356	16.44
357	19.78
358	17.33
359	12.00
360	14.00
361	17.33
362	16.44
363	14.89
364	16.89
365	18.44
366	14.00
367	12.00
368	17.11
369	10.89
370	14.67
371	16.44
372	12.67
373	13.33
374	19.56
375	17.78
376	14.89
377	18.67
378	14.00
379	27.11
380	14.67
381	17.56
382	18.00
383	15.56
384	14.44
385	13.33
386	14.22
387	18.44
388	14.67
389	21.11
390	12.89
391	16.44
392	16.00
393	14.44
394	14.00
395	17.11
396	18.00
397	14.22
398	12.89
399	16.44
400	12.00
401	14.00
402	14.00
403	13.11
404	9.56
405	17.33
406	18.00
407	12.44
408	17.33
409	18.44
410	14.89
411	26.22
412	9.78
413	14.00
414	17.78
415	16.89
416	18.89
417	15.11
418	16.67
419	13.78
420	14.22
421	12.00
422	16.44
423	15.11
424	20.89
425	16.67
426	14.67
427	12.22
428	19.33
429	15.33
430	15.33
431	15.56
432	16.89
433	14.67
434	12.44
435	19.33
436	16.67
437	21.33
438	18.67
439	10.67
440	16.00
441	16.22
442	15.33
443	12.44
444	12.00
445	14.22
446	15.78
447	19.11
448	12.89
449	21.56
450	17.33
451	16.00
452	20.44
453	13.33
454	13.78
455	13.56
456	16.00
457	17.78
458	9.33
459	21.56
460	11.11
461	13.56
462	13.78
463	9.56
464	15.78
465	14.00
466	13.33
467	12.89
468	18.67
469	18.67
470	14.89
471	14.22
472	16.67
473	16.00
474	19.33
475	16.00
476	15.56
477	14.00
478	15.11
479	16.22
480	14.89
481	10.89
482	13.33
483	15.56
484	12.44
485	14.89
486	15.11
487	16.22
488	19.11
489	14.00
490	16.67
491	17.11
492	12.89
493	12.67
494	16.00
495	12.89
496	12.22
497	15.56
498	11.56
499	14.89
500	17.78
501	17.56
502	14.67
503	17.11
504	13.56
505	18.44
506	14.22
507	16.44
508	17.33
509	15.56
510	10.44
511	17.33
512	18.00
513	12.44
514	12.00
515	12.67
516	14.89
517	13.56
518	17.33
519	12.44
520	16.00
521	14.44
522	16.44
523	13.11
524	12.89
525	18.00
526	13.56
527	12.44
528	18.22
529	14.22
530	18.22
531	17.33
532	14.44
533	13.56
534	16.67
535	16.67
536	17.78
537	22.44
538	16.67
539	26.22
540	12.67
541	14.00
542	13.56
543	16.44
544	14.22
545	20.00
546	15.11
547	16.22
548	16.89
549	16.22
550	12.67
551	18.67
552	14.44
553	14.89
554	15.78
555	13.56
556	12.89
557	12.67
558	16.22
559	17.56
560	18.22
561	31.33
562	12.44
563	15.56
564	14.89
565	18.67
566	14.00
567	16.00
568	13.78
569	17.11
570	14.22
571	14.67
572	17.78
573	16.44
574	15.33
575	14.44
576	20.22
577	17.78
578	15.11
579	12.67
580	14.67
581	18.00
582	11.78
583	14.00
584	16.22
585	16.00
586	15.11
587	13.78
588	16.67
589	28.22
590	14.44
591	18.00
592	14.67
593	12.00
594	14.89
595	15.33
596	20.22
597	14.89
598	14.67
599	12.89
600	12.89
601	14.67
602	8.44
603	13.78
604	14.00
605	17.56
606	17.56
607	16.22
608	17.56
609	16.67
610	16.44
611	15.78
612	15.78
613	18.22
614	10.22
615	12.00
616	14.89
617	14.00
618	12.67
619	11.56
620	14.89
621	14.00
622	16.22
623	14.22
624	9.33
625	11.78
626	12.00
627	17.78
628	12.22
629	12.67
630	14.22
631	17.78
632	15.78
633	16.44
634	17.33
635	14.67
636	16.00
637	18.44
638	19.78
639	11.78
640	16.00
641	13.33
642	14.89
643	14.44
644	15.33
645	16.67
646	15.56
647	16.67
648	9.78
649	20.67
650	18.67
651	18.00
652	16.00
653	15.11
654	16.44
655	19.33
656	21.56
657	18.67
658	15.33
659	11.56
660	14.89
661	13.56
662	15.56
663	27.33
664	14.00
665	11.78
666	14.00
667	13.56
668	14.44
669	15.11
670	11.11
671	15.78
672	14.44
673	17.33
674	15.78
675	15.33
676	18.44
677	13.33
678	11.78
679	16.67
680	15.11
681	12.67
682	15.11
683	18.89
684	14.00
685	21.11
686	15.78
687	12.44
688	15.11
689	12.67
690	11.33
691	15.78
692	12.89
693	16.67
694	17.33
695	11.78
696	13.56
697	12.00
698	15.33
699	14.44
700	13.78
701	21.56
702	15.56
703	16.22
704	13.78
705	17.56
706	12.44
707	14.22
708	16.22
709	17.11
710	13.11
711	15.56
712	20.67
713	21.11
714	15.78
715	13.56
716	19.11
717	19.11
718	12.44
719	18.67
720	12.00
721	16.44
722	12.00
723	17.78
724	18.00
725	14.67
726	12.89
727	13.78
728	11.56
729	16.22
730	14.67
731	16.00
732	15.56
733	13.56
734	12.22
735	16.00
736	12.22
737	11.11
738	15.33
739	12.67
740	12.44
741	12.89
742	17.78
743	13.11
744	18.89
745	14.00
746	18.67
747	16.00
748	12.89
749	16.00
750	13.11
751	16.89
752	14.44
753	9.78
754	15.56
755	16.67
756	14.89
757	15.78
758	24.89
759	13.78
760	11.11
761	17.78
762	15.33
763	15.11
764	14.22
765	13.33
766	14.89
767	14.22
768	13.78
769	12.67
770	13.78
771	15.33
772	15.56
773	17.78
774	14.89
775	14.67
776	18.89
777	12.89
778	14.67
779	15.78
780	15.11
781	12.89
782	15.78
783	20.00
784	15.11
785	12.22
786	15.11
787	15.11
788	14.00
789	14.67
790	13.11
791	14.89
792	14.67
793	16.00
794	13.56
795	18.00
796	9.78
797	17.78
798	14.00
799	16.00
800	11.78
801	15.33
802	14.44
803	19.78
804	14.00
805	12.22
806	16.00
807	12.67
808	14.44
809	18.22
810	15.56
811	16.00
812	17.78
813	13.56
814	16.89
815	13.56
816	13.56
817	16.00
818	11.56
819	13.78
820	18.00
821	14.00
822	20.44
823	15.33
824	15.56
825	15.56
826	16.44
827	18.22
828	16.22
829	17.78
830	14.22
831	17.33
832	14.89
833	19.56
834	26.67
835	15.78
836	22.44
837	15.33
838	17.11
839	14.67
840	16.44
841	12.89
842	14.89
843	16.22
844	13.11
845	16.44
846	15.33
847	13.33
848	13.78
849	16.67
850	10.67
851	15.78
852	13.78
853	11.56
854	22.00
855	13.56
856	14.67
857	15.78
858	12.89
859	17.56
860	16.44
861	16.22
862	11.56
863	16.67
864	20.44
865	16.44
866	13.11
867	13.56
868	20.22
869	13.33
870	18.22
871	14.22
872	14.22
873	12.89
874	13.11
875	16.67
876	18.00
877	13.78
878	20.00
879	14.89
880	14.89
881	13.78
882	14.00
883	17.78
884	14.00
885	13.78
886	14.67
887	21.56
888	18.89
889	12.67
890	14.67
891	18.00
892	17.11
893	17.78
894	14.44
895	15.78
896	15.78
897	17.56
898	20.67
899	13.33
900	14.67
901	13.33
902	18.22
903	20.00
904	18.22
905	12.67
906	13.33
907	13.78
908	13.78
909	15.33
910	15.78
911	15.78
912	18.44
913	14.22
914	14.00
915	14.44
916	11.78
917	18.22
918	17.11
919	19.78
920	15.56
921	12.22
922	15.11
923	16.00
924	16.00
925	13.78
926	13.78
927	12.89
928	10.44
929	17.11
930	18.22
931	18.00
932	14.89
933	15.11
934	14.22
935	16.44
936	13.56
937	13.78
938	13.78
939	12.89
940	13.56
941	15.33
942	14.67
943	14.89
944	15.56
945	13.78
946	16.89
947	18.67
948	10.89
949	12.89
950	15.11
951	13.78
952	15.33
953	15.56
954	13.33
955	14.00
956	21.33
957	15.78
958	12.67
959	19.78
960	13.33
961	18.00
962	17.56
963	13.33
964	19.33
965	11.33
966	17.56
967	18.00
968	16.00
969	19.33
970	16.44
971	13.56
972	15.33
973	15.11
974	13.11
975	16.67
976	14.22
977	13.78
978	21.78
979	13.11
980	16.00
981	11.56
982	12.67
983	17.11
984	13.78
985	18.67
986	13.56
987	14.89
988	23.11
989	15.56
990	14.00
991	13.78
992	13.78
993	15.78
994	16.00
995	10.89
996	14.67
997	13.11
998	14.89
999	14.89
1000	14.44
