sim	t	arm	reward	cum_reward
1	1	3	0.0	0.0
1	2	1	1.0	1.0
1	3	3	0.0	1.0
1	4	1	1.0	2.0
1	5	1	0.0	2.0
1	6	2	1.0	3.0
1	7	4	1.0	4.0
1	8	2	1.0	5.0
1	9	2	1.0	6.0
1	10	2	1.0	7.0
1	11	2	1.0	8.0
1	12	1	0.0	8.0
1	13	2	0.0	8.0
1	14	4	0.0	8.0
1	15	2	1.0	9.0
1	16	2	1.0	10.0
1	17	2	1.0	11.0
1	18	2	1.0	12.0
1	19	2	1.0	13.0
1	20	2	1.0	14.0
1	21	3	0.0	14.0
1	22	2	1.0	15.0
1	23	1	0.0	15.0
1	24	2	1.0	16.0
1	25	2	1.0	17.0
1	26	2	1.0	18.0
1	27	4	0.0	18.0
1	28	3	0.0	18.0
1	29	2	1.0	19.0
1	30	2	1.0	20.0
1	31	2	1.0	21.0
1	32	2	1.0	22.0
1	33	0	0.0	22.0
1	34	2	1.0	23.0
1	35	4	0.0	23.0
1	36	2	1.0	24.0
1	37	2	1.0	25.0
1	38	2	1.0	26.0
1	39	2	1.0	27.0
1	40	2	0.0	27.0
1	41	2	1.0	28.0
1	42	2	1.0	29.0
1	43	2	1.0	30.0
1	44	2	1.0	31.0
1	45	2	1.0	32.0
1	46	2	1.0	33.0
1	47	4	0.0	33.0
1	48	2	1.0	34.0
1	49	1	0.0	34.0
1	50	2	1.0	35.0
1	51	4	0.0	35.0
1	52	2	1.0	36.0
1	53	2	1.0	37.0
1	54	0	0.0	37.0
1	55	2	1.0	38.0
1	56	2	1.0	39.0
1	57	2	1.0	40.0
1	58	4	0.0	40.0
1	59	2	1.0	41.0
1	60	2	1.0	42.0
1	61	2	1.0	43.0
1	62	2	1.0	44.0
1	63	2	1.0	45.0
1	64	2	1.0	46.0
1	65	2	0.0	46.0
1	66	2	0.0	46.0
1	67	3	0.0	46.0
1	68	2	1.0	47.0
1	69	2	1.0	48.0
1	70	2	1.0	49.0
1	71	2	1.0	50.0
1	72	2	1.0	51.0
1	73	2	1.0	52.0
1	74	2	1.0	53.0
1	75	2	1.0	54.0
1	76	2	0.0	54.0
1	77	2	1.0	55.0
1	78	2	1.0	56.0
1	79	2	1.0	57.0
1	80	2	1.0	58.0
1	81	0	0.0	58.0
1	82	4	0.0	58.0
1	83	2	1.0	59.0
1	84	2	1.0	60.0
1	85	1	0.0	60.0
1	86	3	0.0	60.0
1	87	2	0.0	60.0
1	88	2	1.0	61.0
1	89	4	0.0	61.0
1	90	2	1.0	62.0
1	91	2	1.0	63.0
1	92	2	1.0	64.0
1	93	2	1.0	65.0
1	94	3	0.0	65.0
1	95	2	1.0	66.0
1	96	2	1.0	67.0
1	97	2	1.0	68.0
1	98	2	1.0	69.0
1	99	4	0.0	69.0
1	100	2	1.0	70.0
1	101	2	1.0	71.0
1	102	2	1.0	72.0
1	103	2	1.0	73.0
1	104	2	1.0	74.0
1	105	4	0.0	74.0
1	106	2	1.0	75.0
1	107	2	0.0	75.0
1	108	1	0.0	75.0
1	109	2	1.0	76.0
1	110	2	1.0	77.0
1	111	2	1.0	78.0
1	112	2	1.0	79.0
1	113	2	0.0	79.0
1	114	2	1.0	80.0
1	115	2	1.0	81.0
1	116	0	1.0	82.0
1	117	0	0.0	82.0
1	118	2	1.0	83.0
1	119	3	0.0	83.0
1	120	2	1.0	84.0
1	121	3	0.0	84.0
1	122	2	1.0	85.0
1	123	2	1.0	86.0
1	124	2	1.0	87.0
1	125	2	1.0	88.0
1	126	2	0.0	88.0
1	127	2	1.0	89.0
1	128	2	1.0	90.0
1	129	2	0.0	90.0
1	130	2	1.0	91.0
1	131	2	1.0	92.0
1	132	2	1.0	93.0
1	133	2	1.0	94.0
1	134	2	1.0	95.0
1	135	2	1.0	96.0
1	136	2	1.0	97.0
1	137	2	1.0	98.0
1	138	2	1.0	99.0
1	139	2	0.0	99.0
1	140	1	0.0	99.0
1	141	2	1.0	100.0
1	142	2	1.0	101.0
