e	sim	reg_pct
0.5	1	54.04
0.5	2	56.96
0.5	3	42.02
0.5	4	45.57
0.5	5	64.89
0.5	6	46.71
0.5	7	49.16
0.5	8	50.78
0.5	9	49.46
0.5	10	53.84
0.5	11	58.73
0.5	12	53.42
0.5	13	50.03
0.5	14	47.06
0.5	15	47.88
0.5	16	48.28
0.5	17	46.99
0.5	18	56.95
0.5	19	53.68
0.5	20	54.92
0.5	21	42.00
0.5	22	47.77
0.5	23	44.54
0.5	24	49.28
0.5	25	54.71
0.5	26	47.32
0.5	27	54.76
0.5	28	63.60
0.5	29	54.87
0.5	30	57.57
0.5	31	52.41
0.5	32	53.70
0.5	33	50.23
0.5	34	47.78
0.5	35	44.02
0.5	36	61.37
0.5	37	48.35
0.5	38	57.45
0.5	39	49.57
0.5	40	56.24
0.5	41	47.53
0.5	42	48.44
0.5	43	53.67
0.5	44	47.85
0.5	45	52.84
0.5	46	46.73
0.5	47	47.52
0.5	48	48.17
0.5	49	58.59
0.5	50	59.51
0.5	51	52.36
0.5	52	40.39
0.5	53	46.31
0.5	54	60.35
0.5	55	55.40
0.5	56	50.28
0.5	57	48.31
0.5	58	54.82
0.5	59	56.13
0.5	60	50.04
0.5	61	56.00
0.5	62	58.05
0.5	63	51.54
0.5	64	44.66
0.5	65	64.38
0.5	66	48.94
0.5	67	47.44
0.5	68	54.92
0.5	69	51.47
0.5	70	47.47
0.5	71	53.27
0.5	72	48.81
0.5	73	44.42
0.5	74	46.03
0.5	75	52.38
0.5	76	57.89
0.5	77	53.21
0.5	78	48.08
0.5	79	50.41
0.5	80	54.98
0.5	81	49.41
0.5	82	44.65
0.5	83	60.44
0.5	84	57.46
0.5	85	51.68
0.5	86	51.06
0.5	87	44.14
0.5	88	41.43
0.5	89	51.97
0.5	90	56.45
0.5	91	58.47
0.5	92	50.91
0.5	93	55.99
0.5	94	52.57
0.5	95	57.97
0.5	96	56.03
0.5	97	51.69
0.5	98	50.18
0.5	99	64.80
0.5	100	49.90
0.5	101	67.85
0.5	102	53.34
0.5	103	49.50
0.5	104	43.17
0.5	105	55.29
0.5	106	51.03
0.5	107	58.74
0.5	108	53.78
0.5	109	49.45
0.5	110	54.98
0.5	111	43.17
0.5	112	47.31
0.5	113	44.88
0.5	114	61.42
0.5	115	54.28
0.5	116	52.29
0.5	117	61.12
0.5	118	49.48
0.5	119	47.71
0.5	120	48.35
0.5	121	47.74
0.5	122	54.98
0.5	123	49.06
0.5	124	55.93
0.5	125	49.60
0.5	126	50.62
0.5	127	60.39
0.5	128	55.28
0.5	129	50.42
0.5	130	48.59
0.5	131	54.43
0.5	132	47.45
0.5	133	56.42
0.5	134	49.95
0.5	135	52.24
0.5	136	52.32
0.5	137	45.41
0.5	138	50.64
0.5	139	43.93
0.5	140	55.51
0.5	141	44.92
0.5	142	53.09
0.5	143	51.62
0.5	144	43.16
0.5	145	44.24
0.5	146	46.63
0.5	147	40.93
0.5	148	58.10
0.5	149	50.73
0.5	150	55.98
0.5	151	44.81
0.5	152	60.26
0.5	153	39.67
0.5	154	47.62
0.5	155	52.28
0.5	156	53.05
0.5	157	51.48
0.5	158	52.46
0.5	159	45.65
0.5	160	52.22
0.5	161	51.84
0.5	162	55.72
0.5	163	52.69
0.5	164	48.64
0.5	165	49.79
0.5	166	51.20
0.5	167	46.87
0.5	168	51.84
0.5	169	51.21
0.5	170	46.99
0.5	171	54.56
0.5	172	55.72
0.5	173	48.67
0.5	174	41.12
0.5	175	53.38
0.5	176	47.85
0.5	177	48.57
0.5	178	50.09
0.5	179	50.77
0.5	180	46.66
0.5	181	54.66
0.5	182	53.53
0.5	183	54.73
0.5	184	51.36
0.5	185	42.46
0.5	186	50.31
0.5	187	57.63
0.5	188	43.32
0.5	189	53.99
0.5	190	44.01
0.5	191	45.39
0.5	192	62.64
0.5	193	67.77
0.5	194	58.34
0.5	195	51.69
0.5	196	52.69
0.5	197	47.24
0.5	198	64.51
0.5	199	47.71
0.5	200	50.11
0.5	201	60.53
0.5	202	56.43
0.5	203	52.25
0.5	204	52.25
0.5	205	49.69
0.5	206	47.18
0.5	207	42.05
0.5	208	53.27
0.5	209	54.87
0.5	210	54.37
0.5	211	53.87
0.5	212	48.45
0.5	213	48.08
0.5	214	57.43
0.5	215	53.47
0.5	216	55.56
0.5	217	52.02
0.5	218	59.36
0.5	219	54.84
0.5	220	44.88
0.5	221	44.44
0.5	222	55.02
0.5	223	49.81
0.5	224	56.27
0.5	225	44.48
0.5	226	38.49
0.5	227	51.42
0.5	228	48.82
0.5	229	51.63
0.5	230	42.65
0.5	231	42.81
0.5	232	48.79
0.5	233	50.96
0.5	234	54.92
0.5	235	59.12
0.5	236	60.66
0.5	237	51.82
0.5	238	50.43
0.5	239	55.45
0.5	240	53.17
0.5	241	57.34
0.5	242	49.90
0.5	243	49.67
0.5	244	56.64
0.5	245	43.56
0.5	246	56.09
0.5	247	54.08
0.5	248	60.81
0.5	249	53.68
0.5	250	52.92
0.5	251	46.19
0.5	252	48.50
0.5	253	39.58
0.5	254	59.58
0.5	255	48.08
0.5	256	56.03
0.5	257	54.34
0.5	258	63.06
0.5	259	49.41
0.5	260	47.92
0.5	261	51.61
0.5	262	53.77
0.5	263	56.29
0.5	264	56.10
0.5	265	50.56
0.5	266	66.81
0.5	267	50.69
0.5	268	45.44
0.5	269	48.52
0.5	270	58.84
0.5	271	50.65
0.5	272	59.94
0.5	273	43.59
0.5	274	50.03
0.5	275	50.27
0.5	276	53.00
0.5	277	43.95
0.5	278	65.22
0.5	279	53.17
0.5	280	46.67
0.5	281	51.03
0.5	282	58.53
0.5	283	54.84
0.5	284	42.80
0.5	285	48.66
0.5	286	47.01
0.5	287	53.17
0.5	288	47.14
0.5	289	62.83
0.5	290	49.50
0.5	291	43.52
0.5	292	64.79
0.5	293	54.28
0.5	294	48.13
0.5	295	48.46
0.5	296	48.41
0.5	297	47.02
0.5	298	41.23
0.5	299	54.87
0.5	300	56.53
