e	sim	reg_pct
0.5	1	32.22
0.5	2	35.78
0.5	3	35.11
0.5	4	34.22
0.5	5	37.33
0.5	6	34.22
0.5	7	40.44
0.5	8	40.67
0.5	9	36.67
0.5	10	35.33
0.5	11	35.33
0.5	12	37.33
0.5	13	38.44
0.5	14	39.56
0.5	15	37.78
0.5	16	36.67
0.5	17	35.11
0.5	18	32.44
0.5	19	36.00
0.5	20	41.78
0.5	21	37.78
0.5	22	35.11
0.5	23	34.67
0.5	24	36.67
0.5	25	36.89
0.5	26	34.67
0.5	27	36.67
0.5	28	35.11
0.5	29	38.67
0.5	30	35.11
0.5	31	34.00
0.5	32	37.78
0.5	33	34.89
0.5	34	33.11
0.5	35	34.89
0.5	36	42.00
0.5	37	34.89
0.5	38	35.11
0.5	39	38.89
0.5	40	36.00
0.5	41	37.56
0.5	42	40.22
0.5	43	35.56
0.5	44	36.22
0.5	45	36.89
0.5	46	36.67
0.5	47	38.67
0.5	48	36.44
0.5	49	36.22
0.5	50	33.78
0.5	51	36.44
0.5	52	35.78
0.5	53	43.11
0.5	54	39.78
0.5	55	34.89
0.5	56	39.78
0.5	57	44.22
0.5	58	38.89
0.5	59	39.56
0.5	60	37.56
0.5	61	39.11
0.5	62	37.56
0.5	63	34.22
0.5	64	34.89
0.5	65	36.22
0.5	66	37.33
0.5	67	39.78
0.5	68	36.00
0.5	69	35.11
0.5	70	35.56
0.5	71	29.56
0.5	72	34.89
0.5	73	36.22
0.5	74	32.22
0.5	75	36.44
0.5	76	40.67
0.5	77	35.11
0.5	78	37.11
0.5	79	39.78
0.5	80	37.56
0.5	81	32.44
0.5	82	39.11
0.5	83	30.22
0.5	84	40.44
0.5	85	36.44
0.5	86	38.22
0.5	87	36.00
0.5	88	34.22
0.5	89	39.56
0.5	90	42.00
0.5	91	37.78
0.5	92	42.00
0.5	93	39.56
0.5	94	37.78
0.5	95	39.56
0.5	96	38.89
0.5	97	39.33
0.5	98	30.44
0.5	99	37.56
0.5	100	38.00
0.5	101	37.56
0.5	102	37.11
0.5	103	39.11
0.5	104	38.22
0.5	105	38.44
0.5	106	32.00
0.5	107	33.78
0.5	108	41.33
0.5	109	36.44
0.5	110	33.56
0.5	111	38.22
0.5	112	38.44
0.5	113	36.67
0.5	114	34.00
0.5	115	35.33
0.5	116	33.33
0.5	117	38.89
0.5	118	33.33
0.5	119	34.44
0.5	120	35.11
0.5	121	43.33
0.5	122	36.89
0.5	123	36.67
0.5	124	37.33
0.5	125	37.33
0.5	126	40.44
0.5	127	36.44
0.5	128	33.11
0.5	129	36.89
0.5	130	32.67
0.5	131	38.67
0.5	132	38.44
0.5	133	35.56
0.5	134	37.78
0.5	135	35.56
0.5	136	37.11
0.5	137	38.89
0.5	138	32.89
0.5	139	38.00
0.5	140	41.56
0.5	141	35.78
0.5	142	34.89
0.5	143	34.00
0.5	144	36.22
0.5	145	36.67
0.5	146	35.11
0.5	147	38.22
0.5	148	32.67
0.5	149	39.33
0.5	150	36.22
0.5	151	38.22
0.5	152	34.00
0.5	153	38.00
0.5	154	37.11
0.5	155	37.33
0.5	156	35.11
0.5	157	37.33
0.5	158	37.11
0.5	159	35.56
0.5	160	37.33
0.5	161	33.56
0.5	162	39.33
0.5	163	39.11
0.5	164	35.33
0.5	165	35.56
0.5	166	35.78
0.5	167	37.33
0.5	168	37.56
0.5	169	36.67
0.5	170	37.78
0.5	171	36.22
0.5	172	42.89
0.5	173	40.89
0.5	174	35.78
0.5	175	39.56
0.5	176	37.56
0.5	177	35.56
0.5	178	33.56
0.5	179	36.44
0.5	180	39.33
0.5	181	32.44
0.5	182	35.56
0.5	183	37.56
0.5	184	34.00
0.5	185	34.89
0.5	186	40.22
0.5	187	31.11
0.5	188	40.44
0.5	189	42.22
0.5	190	36.89
0.5	191	32.67
0.5	192	38.22
0.5	193	43.33
0.5	194	35.11
0.5	195	37.11
0.5	196	34.22
0.5	197	35.56
0.5	198	35.11
0.5	199	38.67
0.5	200	36.00
0.5	201	33.78
0.5	202	41.11
0.5	203	38.22
0.5	204	35.78
0.5	205	37.56
0.5	206	36.22
0.5	207	38.89
0.5	208	37.56
0.5	209	38.00
0.5	210	36.44
0.5	211	35.11
0.5	212	36.89
0.5	213	39.33
0.5	214	36.00
0.5	215	33.78
0.5	216	35.33
0.5	217	32.89
0.5	218	36.67
0.5	219	36.89
0.5	220	35.78
0.5	221	38.67
0.5	222	34.44
0.5	223	33.11
0.5	224	41.78
0.5	225	38.00
0.5	226	40.67
0.5	227	37.78
0.5	228	35.56
0.5	229	38.44
0.5	230	36.44
0.5	231	38.00
0.5	232	39.11
0.5	233	32.22
0.5	234	42.44
0.5	235	34.89
0.5	236	33.56
0.5	237	37.56
0.5	238	34.22
0.5	239	38.44
0.5	240	34.67
0.5	241	35.33
0.5	242	38.22
0.5	243	37.11
0.5	244	37.33
0.5	245	32.00
0.5	246	36.67
0.5	247	33.33
0.5	248	39.78
0.5	249	40.44
0.5	250	38.89
0.5	251	34.00
0.5	252	39.78
0.5	253	34.22
0.5	254	36.44
0.5	255	36.89
0.5	256	33.56
0.5	257	32.89
0.5	258	40.67
0.5	259	36.22
0.5	260	34.22
0.5	261	33.78
0.5	262	40.89
0.5	263	38.44
0.5	264	37.78
0.5	265	38.22
0.5	266	38.67
0.5	267	40.89
0.5	268	32.22
0.5	269	36.00
0.5	270	38.67
0.5	271	36.67
0.5	272	39.56
0.5	273	36.22
0.5	274	37.11
0.5	275	34.44
0.5	276	37.56
0.5	277	32.89
0.5	278	34.22
0.5	279	32.89
0.5	280	37.78
0.5	281	38.22
0.5	282	38.67
0.5	283	37.11
0.5	284	37.78
0.5	285	35.78
0.5	286	37.33
0.5	287	36.22
0.5	288	37.11
0.5	289	30.22
0.5	290	39.78
0.5	291	39.33
0.5	292	32.00
0.5	293	37.33
0.5	294	34.89
0.5	295	36.89
0.5	296	37.11
0.5	297	38.67
0.5	298	37.78
0.5	299	33.33
0.5	300	34.00
0.5	301	34.00
0.5	302	41.56
0.5	303	34.67
0.5	304	31.56
0.5	305	34.44
0.5	306	33.78
0.5	307	34.22
0.5	308	33.11
0.5	309	30.67
0.5	310	30.00
0.5	311	36.67
0.5	312	42.44
0.5	313	32.44
0.5	314	33.33
