sim	reg_pct
1	14.55
2	0.00
3	10.91
4	0.00
5	7.27
6	7.27
7	0.00
8	9.09
9	0.00
10	0.00
11	1.82
12	0.00
13	0.00
14	0.00
15	12.73
16	6.36
17	5.45
18	24.55
19	0.00
20	5.45
21	0.00
22	14.55
23	2.73
24	0.00
25	17.27
26	0.00
27	0.00
28	0.91
29	0.00
30	0.00
31	4.55
32	7.27
33	10.91
34	0.91
35	2.73
36	0.00
37	5.45
38	2.73
39	1.82
40	12.73
41	6.36
42	18.18
43	0.00
44	13.64
45	14.55
46	12.73
47	0.00
48	1.82
49	5.45
50	6.36
51	0.00
52	9.09
53	3.64
54	4.55
55	8.18
56	0.00
57	10.00
58	0.91
59	4.55
60	11.82
61	7.27
62	17.27
63	0.00
64	3.64
65	0.00
66	6.36
67	0.00
68	0.00
69	19.09
70	7.27
71	0.00
72	7.27
73	0.00
74	0.00
75	0.00
76	0.00
77	10.00
78	4.55
79	0.00
80	8.18
81	0.91
82	20.91
83	11.82
84	0.00
85	7.27
86	7.27
87	18.18
88	10.91
89	6.36
90	0.91
91	4.55
92	1.82
93	0.00
94	4.55
95	0.00
96	7.27
97	8.18
98	1.82
99	0.00
100	7.27
