sim	reg_pct
1	2.89
2	2.44
3	1.33
4	1.56
5	2.67
6	4.22
7	4.67
8	3.56
9	1.78
10	3.56
11	3.33
12	0.00
13	2.89
14	5.33
15	2.22
16	0.44
17	3.56
18	2.67
19	1.56
20	3.33
21	4.22
22	4.44
23	2.22
24	0.67
25	0.67
26	0.00
27	0.00
28	1.78
29	2.67
30	0.89
31	2.44
32	0.67
33	2.89
34	3.56
35	3.11
36	2.89
37	0.89
38	5.78
39	1.11
40	0.67
41	0.67
42	2.89
43	1.56
44	3.11
45	0.44
46	1.78
47	1.11
48	1.56
49	3.33
50	3.33
51	0.00
52	4.00
53	3.56
54	2.67
55	0.22
56	1.78
57	2.67
58	4.00
59	3.33
60	2.44
61	2.89
62	0.44
63	4.44
64	3.11
65	3.33
66	2.44
67	4.00
68	0.00
69	1.56
70	2.89
71	2.00
72	2.67
73	2.89
74	2.22
75	4.89
76	3.11
77	2.00
78	2.67
79	1.33
80	6.22
81	3.56
82	1.33
83	2.67
84	0.44
85	0.44
86	2.22
87	2.67
88	2.22
89	6.44
90	2.67
91	0.22
92	4.44
93	3.11
94	3.56
95	0.00
96	4.44
97	3.33
98	2.44
99	2.67
100	2.00
101	0.44
102	0.00
103	2.67
104	2.00
105	6.44
106	2.44
107	2.89
108	4.44
109	1.11
110	1.11
111	0.00
112	2.44
113	4.00
114	1.78
115	4.00
116	3.56
117	5.56
118	0.67
119	1.11
120	4.89
121	1.78
122	3.78
123	3.33
124	2.89
125	4.44
126	1.78
127	2.00
128	0.00
129	2.44
130	2.44
131	0.67
132	4.67
133	2.44
134	2.22
135	0.44
136	4.67
137	10.89
138	0.22
139	1.78
140	0.89
141	1.78
142	4.22
143	2.44
144	2.67
145	2.67
146	0.44
147	0.00
148	4.00
149	0.67
150	4.44
151	0.00
152	4.89
153	0.00
154	2.00
155	0.22
156	1.78
157	0.44
158	4.22
159	1.33
160	4.22
161	4.89
162	3.33
163	0.00
164	1.33
165	3.78
166	2.00
167	0.00
168	1.56
169	0.89
170	3.33
171	2.44
172	1.78
173	2.67
174	0.00
175	2.00
176	3.33
177	1.33
178	4.67
179	2.44
180	4.67
181	0.67
182	2.67
183	2.00
184	2.89
185	0.44
186	4.89
187	1.33
188	2.44
189	3.33
190	0.00
191	0.67
192	2.89
193	0.67
194	1.33
195	2.44
196	5.78
197	4.22
198	3.33
199	2.00
200	3.33
201	2.44
202	3.78
203	6.22
204	2.89
205	2.89
206	3.11
207	2.89
208	0.22
209	0.44
210	0.44
211	3.56
212	3.33
213	2.89
214	3.33
215	3.11
216	0.67
217	0.00
218	1.56
219	2.22
220	2.22
221	1.33
222	2.22
223	2.44
224	2.44
225	2.44
226	4.89
227	2.00
228	4.00
229	0.00
230	0.89
231	2.67
232	0.67
233	3.11
234	2.67
235	5.33
236	3.33
237	1.56
238	2.44
239	3.11
240	1.78
241	5.56
242	3.56
243	2.89
244	0.44
245	0.00
246	4.00
247	1.11
248	0.00
249	2.44
250	1.56
251	2.67
252	3.56
253	3.33
254	2.22
255	0.44
256	1.56
257	1.78
258	4.22
259	2.67
260	1.11
261	3.33
262	3.78
263	0.89
264	0.44
265	2.00
266	1.78
267	4.00
268	3.78
269	3.56
270	0.00
271	2.44
272	5.11
273	4.89
274	2.22
275	0.89
276	4.89
277	3.78
278	1.33
279	0.22
280	0.00
281	2.00
282	3.56
283	3.78
284	0.00
285	4.00
286	1.56
287	2.89
288	2.00
289	4.22
290	0.00
291	6.00
292	1.78
293	4.89
294	2.00
295	1.33
296	0.00
297	3.11
298	0.89
299	5.56
300	3.56
301	1.56
302	3.56
303	2.89
304	1.33
305	2.00
306	2.67
307	3.11
308	0.22
309	1.11
310	0.00
311	0.67
312	2.00
313	1.78
314	2.44
315	3.11
316	3.56
317	1.78
318	0.00
319	0.00
320	3.56
321	2.22
322	4.00
323	0.44
324	3.33
325	1.78
326	0.44
327	6.44
328	0.00
329	2.89
330	5.78
331	1.56
332	0.00
333	0.89
334	5.33
335	3.56
336	0.89
337	2.00
338	3.11
339	2.67
340	2.67
341	0.00
342	1.78
343	2.67
344	8.00
345	2.89
346	3.11
347	3.33
348	4.89
349	3.33
350	2.67
351	2.89
352	4.44
353	2.67
354	0.89
355	0.67
356	0.44
357	4.00
358	2.44
359	2.67
360	1.11
361	4.67
362	3.33
363	0.00
364	0.00
365	2.22
366	3.56
367	1.33
368	3.33
369	3.33
370	0.67
371	2.44
372	4.67
373	0.44
374	0.00
375	2.89
376	0.00
377	0.44
378	0.00
379	4.00
380	1.78
381	0.00
382	1.78
383	1.56
384	0.00
385	0.00
386	5.11
387	1.11
388	2.44
389	2.00
390	2.22
391	0.00
392	4.67
393	0.00
394	0.67
395	4.00
396	0.00
397	0.67
398	0.44
399	2.89
400	1.78
401	2.67
402	2.00
403	6.22
404	4.00
405	2.44
406	0.89
407	0.00
408	2.22
409	3.78
410	1.56
411	0.00
412	2.67
413	0.67
414	4.89
415	3.11
416	2.89
417	1.56
418	2.00
419	1.11
420	1.56
421	0.00
422	2.22
423	0.22
424	2.44
425	4.00
426	0.89
427	1.33
428	3.56
429	2.44
430	2.22
431	0.00
432	2.89
433	2.67
434	3.33
435	2.00
436	3.11
437	2.22
438	3.78
439	0.22
440	2.44
441	4.67
442	1.11
443	1.56
444	1.78
445	4.00
446	2.44
447	3.56
448	2.22
449	0.00
450	0.00
451	2.44
452	1.11
453	2.22
454	1.78
455	1.78
456	2.44
457	3.56
458	2.67
459	0.00
460	1.11
461	3.33
462	0.00
463	0.00
464	1.11
465	1.33
466	0.00
467	2.89
468	0.89
469	4.00
470	0.89
471	1.11
472	1.78
473	6.22
474	3.11
475	0.00
476	1.33
477	3.11
478	2.44
479	0.00
480	2.00
481	5.11
482	4.44
483	0.89
484	2.22
485	4.00
486	3.78
487	4.22
488	1.78
489	2.00
490	3.11
491	2.00
492	3.78
493	0.89
494	0.89
495	1.78
496	3.33
497	5.11
498	2.22
499	0.44
500	3.33
501	3.11
502	4.44
503	0.00
504	3.33
505	1.33
506	0.00
507	2.00
508	1.78
509	0.00
510	2.00
511	0.00
512	4.00
513	0.00
514	2.67
515	4.00
516	0.00
517	2.00
518	0.00
519	4.67
520	0.00
521	0.00
522	0.22
523	0.67
524	1.33
525	4.44
526	3.11
527	0.89
528	4.22
529	1.56
530	2.00
531	1.33
532	1.56
533	2.44
534	3.11
535	2.67
536	1.11
537	0.22
538	1.78
539	2.22
540	1.56
541	3.78
542	0.67
543	4.44
544	3.11
545	1.33
546	4.22
547	1.11
548	3.56
549	6.67
550	1.33
551	1.78
552	2.89
553	2.22
554	4.89
555	3.33
556	4.00
557	0.67
558	1.56
559	0.00
560	0.89
561	3.56
562	1.11
563	0.89
564	0.00
565	2.00
566	5.11
567	0.22
568	3.56
569	4.00
570	2.00
571	0.44
572	1.56
573	0.22
574	3.78
575	2.00
576	1.78
577	3.33
578	2.22
579	0.22
580	0.00
581	3.56
582	0.67
583	1.11
584	3.11
585	3.11
586	0.67
587	0.22
588	1.56
589	0.44
590	5.56
591	2.00
592	1.33
593	3.11
594	3.11
595	3.78
596	4.00
597	1.78
598	0.00
599	2.67
600	0.00
601	2.89
602	2.89
603	1.33
604	4.67
605	2.22
606	2.67
607	0.00
608	2.89
609	1.11
610	2.00
611	2.44
612	0.67
613	0.67
614	2.89
615	3.78
616	3.78
617	1.11
618	1.11
619	3.33
620	7.11
621	0.44
622	4.44
623	0.00
624	0.00
625	0.67
626	4.22
627	1.33
628	2.44
629	2.89
630	1.33
631	2.89
632	0.44
633	2.67
634	3.56
635	1.56
636	0.22
637	2.22
638	3.78
639	5.33
640	2.44
641	5.78
642	0.00
643	2.00
644	2.00
645	3.78
646	3.56
647	0.22
648	3.11
649	0.67
650	2.22
651	1.56
652	2.89
653	0.00
654	2.00
655	0.00
656	1.56
657	1.78
658	4.00
659	2.00
660	2.44
661	5.11
662	2.67
663	1.56
664	2.44
665	2.00
666	0.22
667	2.89
668	0.22
669	2.44
670	1.33
671	2.00
672	1.78
673	5.11
674	0.00
675	2.22
676	5.11
677	0.89
678	2.44
679	1.78
680	2.44
681	1.33
682	4.22
683	5.56
684	0.00
685	0.67
686	0.00
687	5.33
688	3.11
689	0.89
690	2.44
691	0.67
692	0.89
693	1.78
694	2.00
695	1.56
696	6.22
697	1.11
698	1.11
699	4.22
700	1.11
701	1.56
702	3.11
703	2.89
704	4.00
705	6.22
706	2.67
707	3.11
708	1.56
709	4.00
710	1.78
711	2.22
712	0.89
713	0.00
714	2.00
715	3.56
716	2.44
717	0.22
718	0.00
719	2.00
720	5.11
721	0.00
722	2.89
723	0.44
724	2.22
725	1.11
726	2.89
727	4.67
728	2.89
729	1.11
730	0.00
731	2.44
732	2.89
733	1.78
734	0.67
735	1.11
736	3.78
737	4.44
738	0.67
739	0.00
740	0.00
741	3.33
742	4.00
743	0.67
744	0.67
745	4.00
746	0.00
747	4.89
748	0.89
749	4.44
750	7.56
751	2.67
752	0.67
753	3.33
754	4.00
755	2.67
756	2.89
757	2.67
758	1.33
759	1.78
760	1.78
761	1.33
762	0.44
763	0.22
764	2.22
765	3.33
766	4.22
767	0.67
768	2.89
769	0.00
770	3.33
771	1.56
772	1.33
773	1.11
774	5.11
775	3.11
776	2.67
777	3.11
778	2.22
779	1.56
780	0.00
781	0.89
782	2.89
783	0.22
784	2.44
785	0.00
786	1.11
787	5.56
788	1.33
789	1.11
790	2.22
791	3.33
792	1.56
793	3.56
794	0.00
795	6.22
796	0.44
797	1.78
798	2.89
799	0.44
800	1.56
801	0.00
802	2.00
803	3.78
804	1.33
805	2.22
806	3.33
807	4.00
808	1.56
809	0.00
810	5.11
811	3.11
812	2.44
813	2.00
814	2.22
815	3.78
816	0.44
817	1.33
818	4.22
819	1.78
820	2.22
821	4.00
822	4.89
823	0.44
824	4.44
825	0.44
826	1.56
827	7.11
828	2.44
829	3.56
830	1.56
831	3.11
832	2.22
833	0.67
834	0.89
835	5.33
836	2.22
837	2.67
838	5.56
839	1.78
840	2.22
841	2.00
842	3.78
843	3.11
844	1.56
845	0.89
846	4.44
847	0.44
848	1.56
849	0.00
850	2.67
851	1.11
852	0.67
853	1.78
854	0.00
855	1.11
856	0.22
857	1.11
858	2.44
859	2.67
860	4.89
861	1.33
862	2.67
863	1.56
864	0.00
865	4.89
866	3.56
867	2.44
868	2.22
869	1.78
870	0.89
871	2.00
872	2.00
873	1.33
874	2.22
875	0.00
876	3.33
877	4.44
878	0.89
879	1.78
880	1.11
881	3.78
882	0.22
883	0.44
884	2.00
885	2.22
886	2.22
887	0.00
888	1.33
889	1.33
890	0.00
891	2.89
892	2.67
893	1.33
894	0.00
895	0.89
896	0.44
897	1.56
898	3.11
899	5.11
900	0.00
901	1.33
902	1.33
903	1.78
904	2.67
905	1.11
906	1.56
907	2.00
908	1.33
909	0.89
910	2.67
911	1.11
912	2.67
913	1.56
914	2.44
915	1.33
916	3.33
917	4.44
918	2.22
919	0.00
920	3.33
921	2.00
922	3.56
923	2.22
924	3.11
925	1.78
926	4.22
927	0.00
928	2.00
929	2.44
930	3.78
931	3.11
932	0.00
933	3.11
934	0.00
935	2.67
936	3.33
937	2.00
938	4.00
939	0.00
940	2.89
941	5.33
942	5.11
943	1.78
944	1.11
945	2.22
946	3.78
947	3.11
948	4.89
949	0.00
950	3.33
951	1.56
952	0.00
953	0.00
954	0.00
955	1.33
956	1.56
957	2.89
958	0.00
959	1.11
960	1.33
961	1.33
962	0.00
963	3.56
964	4.44
965	3.78
966	3.56
967	4.00
968	0.00
969	4.22
970	6.00
971	0.00
972	3.56
973	4.00
974	0.44
975	0.00
976	4.22
977	2.44
978	4.00
979	1.11
980	3.33
981	3.11
982	4.67
983	1.33
984	0.00
985	3.56
986	3.56
987	1.33
988	4.22
989	0.89
990	0.00
991	2.89
992	4.00
993	5.11
994	4.22
995	0.22
996	0.67
997	2.44
998	0.00
999	2.44
1000	3.56
