sim	t	arm	reward	cum_reward
1	1	0	-1.032919063216966	-1.032919063216966
1	2	1	-0.25843985179732787	-1.291358915014294
1	3	1	0.9620750647105825	-0.32928385030371143
1	4	1	0.6934650965977935	0.3641812462940821
1	5	1	0.57781283712174	0.9419940834158221
1	6	1	-0.6279150330037588	0.3140790504120633
1	7	1	0.0006752110033926839	0.314754261415456
1	8	1	0.9711740773416324	1.2859283387570883
1	9	1	-1.6094507236670066	-0.32352238490991825
1	10	1	0.6612617729414316	0.3377393880315134
1	11	1	-0.552647335280873	-0.21490794724935958
1	12	1	1.3729577043031487	1.158049757053789
1	13	1	0.6660032346896486	1.8240529917434376
1	14	1	-1.0338835753205629	0.7901694164228747
1	15	0	0.41570864823556414	1.2058780646584388
1	16	1	2.2897653740315347	3.4956434386899735
1	17	0	0.20969959802286464	3.705343036712838
1	18	0	0.3483216305622279	4.053664667275066
1	19	0	0.5126448439944011	4.566309511269467
1	20	1	0.693698520538204	5.260008031807671
1	21	0	0.5197496515306126	5.779757683338284
1	22	1	0.39020467609600495	6.1699623594342885
1	23	0	1.7183357835003106	7.888298142934599
1	24	0	-0.4339893191765486	7.45430882375805
1	25	1	2.0784400025009755	9.532748826259025
1	26	1	0.18902429173638874	9.721773117995415
1	27	1	-1.173089745800391	8.548683372195024
1	28	0	0.30659700972064613	8.85528038191567
1	29	0	1.7772074125986723	10.632487794514342
1	30	0	0.12676868115440726	10.75925647566875
1	31	0	-0.2503226035564877	10.508933872112262
1	32	1	1.7394433296717962	12.24837720178406
1	33	0	0.7695243331586262	13.017901534942686
1	34	1	-1.9606059617395717	11.057295573203113
1	35	0	1.528801506521546	12.58609707972466
1	36	0	0.1377742133594979	12.723871293084157
1	37	1	2.4542663472166373	15.178137640300793
1	38	0	-0.5348025103215858	14.643335129979208
1	39	1	1.639825670363423	16.283160800342632
1	40	0	1.428134790411788	17.71129559075442
1	41	1	0.36175442509512523	18.073050015849546
1	42	0	-0.2270135335699568	17.84603648227959
1	43	0	0.5084941456139768	18.354530627893567
1	44	0	-1.5237246935977935	16.830805934295775
1	45	1	1.662161004967853	18.492966939263628
1	46	1	0.30282616542477275	18.7957931046884
1	47	1	1.6653701360612134	20.461163240749613
1	48	0	0.3564501838683699	20.81761342461798
1	49	1	1.0482882105165081	21.865901635134488
1	50	1	0.1529393481918584	22.018840983326346
1	51	1	-0.07378000348968661	21.945060979836658
1	52	1	3.1321727531813597	25.07723373301802
1	53	1	-1.8785319074619964	23.19870182555602
1	54	1	0.5095339421734008	23.708235767729423
1	55	0	-0.935587809457307	22.772647958272117
1	56	1	1.7167731911396351	24.48942114941175
1	57	1	-1.1374486437560127	23.351972505655738
1	58	1	0.7044858399543641	24.056458345610103
1	59	1	-0.7190412637933088	23.337417081816795
1	60	0	1.4364551769585947	24.77387225877539
1	61	1	-0.8897868815331185	23.884085377242272
1	62	1	2.034626848781243	25.918712226023516
1	63	0	0.8646237266008412	26.783335952624356
1	64	1	-1.1156860075722048	25.66764994505215
1	65	1	1.763841601562743	27.431491546614893
1	66	1	1.2632506309817912	28.694742177596684
1	67	1	0.9656354401812005	29.660377617777883
1	68	1	0.8751204095996338	30.535498027377518
1	69	1	1.015297887748218	31.550795915125736
1	70	1	-0.3125262789192572	31.23826963620648
1	71	1	0.37834134000923003	31.616610976215707
1	72	1	-0.6191031472112469	30.99750782900446
1	73	1	-0.19821692372343813	30.79929090528102
1	74	0	2.412240235280839	33.21153114056186
1	75	1	-0.486603779295012	32.72492736126685
1	76	0	-0.26772504906699524	32.457202312199854
1	77	0	0.23408774698775547	32.69129005918761
1	78	1	0.014837131950766469	32.70612719113837
1	79	1	0.5227198915847747	33.22884708272315
1	80	1	0.6556905837080117	33.884537666431164
1	81	1	1.2011717647095326	35.0857094311407
1	82	1	2.6358786216668686	37.72158805280757
1	83	1	-0.4715156604345617	37.250072392373006
