sim	reg_pct
1	10.22
2	11.11
3	9.56
4	8.67
5	9.33
6	12.67
7	10.89
8	9.56
9	10.22
10	10.22
11	11.56
12	7.11
13	10.89
14	12.00
15	9.11
16	8.44
17	10.67
18	12.22
19	8.89
20	10.89
21	11.78
22	12.22
23	9.33
24	7.11
25	7.33
26	8.00
27	9.11
28	10.22
29	10.67
30	10.00
31	10.22
32	8.22
33	10.22
34	12.22
35	10.44
36	10.67
37	9.11
38	12.89
39	8.67
40	7.56
41	8.44
42	12.22
43	8.22
44	10.67
45	8.44
46	10.44
47	9.11
48	9.11
49	9.11
50	12.00
51	8.44
52	10.67
53	11.78
54	8.89
55	8.00
56	9.33
57	11.11
58	12.22
59	10.67
60	11.78
61	11.33
62	8.44
63	12.22
64	10.89
65	10.89
66	10.44
67	12.00
68	8.67
69	10.00
70	8.89
71	9.78
72	9.33
73	10.89
74	9.78
75	11.11
76	10.22
77	9.11
78	9.33
79	9.33
80	12.67
81	12.00
82	9.56
83	9.11
84	8.00
85	8.22
86	9.11
87	9.78
88	9.33
89	14.22
90	10.67
91	8.22
92	12.22
93	10.89
94	11.78
95	7.33
96	12.00
97	11.33
98	10.22
99	10.00
100	9.33
101	8.44
102	9.11
103	10.44
104	9.33
105	12.00
106	10.22
107	9.78
108	12.00
109	8.89
110	8.67
111	7.78
112	10.67
113	10.89
114	9.56
115	10.22
116	10.22
117	13.11
118	7.78
119	9.11
120	13.11
121	9.11
122	11.11
123	10.44
124	9.11
125	9.33
126	10.00
127	8.44
128	7.11
129	10.89
130	9.56
131	7.78
132	12.89
133	9.33
134	10.89
135	9.33
136	13.33
137	12.44
138	7.56
139	9.33
140	8.00
141	8.89
142	12.22
143	11.33
144	10.00
145	10.67
146	8.44
147	8.22
148	11.33
149	8.22
150	11.11
151	7.78
152	12.44
153	8.00
154	9.11
155	6.89
156	8.22
157	8.89
158	11.33
159	10.22
160	11.11
161	12.00
162	11.11
163	6.44
164	8.22
165	12.44
166	8.44
167	7.33
168	8.89
169	8.00
170	11.11
171	10.22
172	8.67
173	10.44
174	6.89
175	8.22
176	10.22
177	8.44
178	11.11
179	10.22
180	12.00
181	9.11
182	10.00
183	10.00
184	11.11
185	9.11
186	12.44
187	8.89
188	9.11
189	11.33
190	6.89
191	8.44
192	9.33
193	8.44
194	9.11
195	9.11
196	13.56
197	11.56
198	10.00
199	11.33
200	10.44
201	9.11
202	10.89
203	14.22
204	10.44
205	10.67
206	10.44
207	8.67
208	8.44
209	8.22
210	9.33
211	10.89
212	10.89
213	10.89
214	10.89
215	10.67
216	8.67
217	6.89
218	8.89
219	10.89
220	10.22
221	9.11
222	8.67
223	10.00
224	8.67
225	11.11
226	12.67
227	8.89
228	11.33
229	8.22
230	10.00
231	10.67
232	8.44
233	10.89
234	9.11
235	12.22
236	11.33
237	9.33
238	9.56
239	9.11
240	10.00
241	11.78
242	12.00
243	10.67
244	8.67
245	6.22
246	11.78
247	8.22
248	8.00
249	10.89
250	10.22
251	10.00
252	11.11
253	11.56
254	9.78
255	8.44
256	9.56
257	9.78
258	11.33
259	8.89
260	9.33
261	12.00
262	11.56
263	8.00
264	9.33
265	10.89
266	8.00
267	11.11
268	8.89
269	11.78
270	6.67
271	10.89
272	12.67
273	12.67
274	10.44
275	8.22
276	12.22
277	10.44
278	8.22
279	6.67
280	6.89
281	10.44
282	12.89
283	12.00
284	8.00
285	12.44
286	9.56
287	10.22
288	10.44
289	12.00
290	8.89
291	13.11
292	10.00
293	11.78
294	8.89
295	9.11
296	6.89
297	8.44
298	7.11
299	12.44
300	10.67
301	10.00
302	11.78
303	10.89
304	8.22
305	10.22
306	8.89
307	10.00
308	7.33
309	9.33
310	7.78
311	8.89
312	9.33
313	9.56
314	10.00
315	10.89
316	12.22
317	9.33
318	7.78
319	7.78
320	11.78
321	9.78
322	8.89
323	8.44
324	10.44
325	10.00
326	8.67
327	14.44
328	7.11
329	9.11
330	12.00
331	10.44
332	8.22
333	8.44
334	12.44
335	11.56
336	10.00
337	10.67
338	11.11
339	10.00
340	10.44
341	7.56
342	8.89
343	9.11
344	13.78
345	12.00
346	10.22
347	11.78
348	11.56
349	10.89
350	10.67
351	9.56
352	10.67
353	10.89
354	8.67
355	8.22
356	8.22
357	12.00
358	11.78
359	10.67
360	8.89
361	10.67
362	10.89
363	6.89
364	7.78
365	10.67
366	13.11
367	8.22
368	11.11
369	9.33
370	9.11
371	10.22
372	12.89
373	7.33
374	7.11
375	8.89
376	7.11
377	8.22
378	4.89
379	12.22
380	10.44
381	7.33
382	10.00
383	7.78
384	7.56
385	7.78
386	13.33
387	9.56
388	10.67
389	9.78
390	10.22
391	7.33
392	12.22
393	7.11
394	9.33
395	12.00
396	6.44
397	7.11
398	9.33
399	9.11
400	7.56
401	9.56
402	9.56
403	13.56
404	9.33
405	9.11
406	7.78
407	8.00
408	9.56
409	11.11
410	9.33
411	8.44
412	10.22
413	8.67
414	12.44
415	8.89
416	10.89
417	9.56
418	8.89
419	9.78
420	9.56
421	7.78
422	10.22
423	8.00
424	9.56
425	11.56
426	8.89
427	9.78
428	11.56
429	10.44
430	10.44
431	7.33
432	10.89
433	9.78
434	12.00
435	8.22
436	11.78
437	9.11
438	10.67
439	6.89
440	8.22
441	12.89
442	9.56
443	8.22
444	9.78
445	10.89
446	11.11
447	12.00
448	8.89
449	7.56
450	6.67
451	11.11
452	8.67
453	9.56
454	9.11
455	8.00
456	9.11
457	11.56
458	9.56
459	8.00
460	8.22
461	10.67
462	6.89
463	6.89
464	8.44
465	8.89
466	8.22
467	10.67
468	8.67
469	11.11
470	8.89
471	9.33
472	9.56
473	13.78
474	10.00
475	7.78
476	9.11
477	9.56
478	11.33
479	6.22
480	10.44
481	11.78
482	12.22
483	8.00
484	8.89
485	12.00
486	11.78
487	11.78
488	9.56
489	9.78
490	10.44
491	9.11
492	12.22
493	9.33
494	8.89
495	8.67
496	11.56
497	12.89
498	9.11
499	8.00
500	12.44
501	10.00
502	11.33
503	6.44
504	9.78
505	8.89
506	6.67
507	9.78
508	10.00
509	8.67
510	9.11
511	6.89
512	12.44
513	7.11
514	9.33
515	12.22
516	6.22
517	10.00
518	6.67
519	12.22
520	7.33
521	8.00
522	8.00
523	8.89
524	7.78
525	11.11
526	11.78
527	7.56
528	10.89
529	9.56
530	7.78
531	8.89
532	8.67
533	10.00
534	10.22
535	9.33
536	8.00
537	8.22
538	9.78
539	11.11
540	8.67
541	12.44
542	8.00
543	11.78
544	11.11
545	8.67
546	11.56
547	8.89
548	12.22
549	14.22
550	8.89
551	8.22
552	10.22
553	10.89
554	12.00
555	10.22
556	13.78
557	7.78
558	8.67
559	7.78
560	9.56
561	11.11
562	9.56
563	7.33
564	6.44
565	10.22
566	11.78
567	8.67
568	9.56
569	11.56
570	9.11
571	8.89
572	10.22
573	7.78
574	12.00
575	9.33
576	9.11
577	10.67
578	10.00
579	8.44
580	8.00
581	10.22
582	8.44
583	9.11
584	9.56
585	10.89
586	9.33
587	7.78
588	9.11
589	9.11
590	13.33
591	9.33
592	9.33
593	10.67
594	10.44
595	12.67
596	11.56
597	8.67
598	8.22
599	11.11
600	7.11
601	8.22
602	11.78
603	9.11
604	10.00
605	9.33
606	11.78
607	7.11
608	9.78
609	9.78
610	9.33
611	10.89
612	8.44
613	9.33
614	12.22
615	9.78
616	12.67
617	9.33
618	7.78
619	11.11
620	14.22
621	8.00
622	11.33
623	8.22
624	6.89
625	8.67
626	12.67
627	8.00
628	8.89
629	9.11
630	8.89
631	10.44
632	8.00
633	10.44
634	10.67
635	8.44
636	7.33
637	10.00
638	10.89
639	12.44
640	10.22
641	13.78
642	7.78
643	9.11
644	10.44
645	11.56
646	11.56
647	8.44
648	10.44
649	9.33
650	9.56
651	8.44
652	10.44
653	7.33
654	10.67
655	7.33
656	9.11
657	9.11
658	12.00
659	9.56
660	10.67
661	12.44
662	10.89
663	8.67
664	9.56
665	8.67
666	8.89
667	11.11
668	7.33
669	10.89
670	8.89
671	10.89
672	8.44
673	12.89
674	8.00
675	9.78
676	13.33
677	9.56
678	9.56
679	9.78
680	8.89
681	8.89
682	12.44
683	13.78
684	6.89
685	8.89
686	8.89
687	13.56
688	11.56
689	8.67
690	9.78
691	7.56
692	8.89
693	8.22
694	9.11
