sim	reg_pct
1	6.67
2	4.22
3	4.00
4	4.67
5	4.00
6	6.22
7	6.22
8	4.89
9	4.00
10	6.00
11	5.78
12	2.67
13	6.00
14	6.44
15	4.89
16	3.56
17	6.67
18	5.33
19	3.11
20	4.22
21	6.44
22	6.67
23	5.11
24	2.67
25	2.44
26	3.11
27	3.56
28	3.78
29	5.11
30	4.22
31	5.33
32	3.11
33	5.11
34	7.33
35	4.89
36	4.44
37	4.00
38	6.67
39	3.33
40	2.67
41	3.56
42	6.89
43	3.56
44	4.22
45	3.33
46	3.78
47	4.22
48	5.11
49	4.67
50	6.44
51	2.44
52	6.67
53	5.33
54	4.00
55	2.44
56	4.22
57	7.11
58	5.78
59	5.33
60	5.78
61	5.33
62	2.22
63	7.33
64	5.78
65	5.78
66	5.11
67	6.44
68	4.00
69	4.22
70	4.22
71	5.33
72	4.89
73	4.44
74	5.33
75	6.22
76	5.33
77	4.00
78	5.11
79	4.00
80	8.67
81	5.78
82	4.22
83	5.11
84	3.56
85	3.78
86	4.44
87	4.22
88	4.67
89	7.33
90	4.67
91	3.11
92	6.00
93	4.44
94	5.56
95	1.78
96	5.78
97	5.56
98	4.89
99	6.00
100	4.67
101	2.89
102	2.44
103	5.33
104	4.44
105	7.56
106	4.89
107	4.67
108	6.67
109	2.44
110	3.56
111	3.11
112	4.44
113	5.33
114	6.00
115	6.44
116	6.00
117	7.78
118	2.67
119	4.22
120	6.67
121	4.00
122	4.89
123	5.11
124	4.67
125	6.22
126	3.56
127	3.56
128	2.00
129	5.11
130	4.89
131	2.67
132	6.89
133	4.00
134	4.89
135	3.33
136	6.89
137	7.11
138	3.33
139	3.78
140	2.89
141	4.00
142	6.67
143	4.89
144	4.44
145	5.78
146	2.00
147	2.44
148	6.89
149	3.33
150	6.00
151	3.33
152	6.67
153	2.67
154	5.33
155	2.44
156	4.22
157	3.11
158	6.22
159	4.44
160	5.56
161	6.22
162	6.00
163	2.00
164	4.00
165	6.44
166	4.44
167	1.33
168	4.44
169	4.44
170	3.78
171	4.44
172	3.33
173	5.56
174	2.00
175	4.89
176	5.56
177	4.22
178	7.33
179	4.67
180	6.22
181	3.78
182	4.67
183	4.00
184	6.00
185	2.44
186	6.67
187	2.67
188	4.22
189	5.56
190	1.56
191	3.33
192	5.11
193	3.56
194	3.56
195	4.00
196	7.56
197	6.22
198	4.89
199	6.00
200	5.78
201	4.67
202	6.44
203	7.11
204	4.67
205	4.44
206	3.33
207	5.56
208	2.67
209	2.89
210	3.56
211	5.56
212	5.11
213	6.22
214	5.56
215	5.56
216	4.00
217	2.00
218	3.56
219	4.89
220	4.22
221	4.00
222	4.00
223	4.67
224	4.67
225	4.67
226	7.33
227	4.67
228	6.89
229	2.44
230	3.11
231	4.44
232	3.56
233	5.78
234	4.67
235	7.33
236	6.22
237	3.56
238	4.22
239	5.78
240	4.22
241	6.44
242	5.56
243	5.33
244	3.33
245	1.33
246	5.33
247	4.00
248	2.44
249	4.89
250	4.89
251	4.44
252	5.56
253	5.33
254	4.89
255	2.22
256	4.44
257	4.22
258	6.67
259	4.44
260	4.89
261	4.89
262	5.56
263	4.22
264	3.11
265	4.67
266	3.11
267	5.78
268	4.00
269	5.56
270	3.56
271	5.33
272	6.89
273	6.00
274	5.33
275	3.33
276	6.44
277	5.11
278	4.44
279	2.67
280	2.67
281	3.78
282	5.33
283	5.78
284	3.78
285	5.33
286	4.00
287	4.89
288	5.11
289	7.33
290	2.44
291	7.78
292	6.22
293	6.67
294	4.22
295	3.56
296	2.00
297	4.22
298	2.67
299	7.11
300	5.11
301	4.22
302	6.00
303	5.56
304	4.67
305	4.22
306	5.78
307	5.11
308	2.44
309	3.56
310	2.44
311	3.11
312	6.22
313	4.44
314	4.44
315	6.22
316	5.78
317	4.89
318	4.22
319	1.78
320	5.11
321	4.44
322	5.56
323	4.22
324	7.11
325	3.11
326	3.33
327	8.00
328	1.78
329	4.89
330	6.44
331	5.33
332	2.67
333	5.11
334	7.11
335	5.11
336	2.89
337	4.67
338	5.33
339	5.56
340	5.11
341	2.22
342	5.33
343	3.78
344	8.67
345	6.00
346	4.67
347	6.00
348	7.33
349	6.67
350	5.78
351	5.11
352	6.44
353	6.67
354	3.11
355	2.22
356	2.67
357	7.56
358	5.56
359	5.33
360	3.33
361	6.44
362	4.67
363	2.22
364	2.67
365	4.89
366	7.33
367	3.11
368	5.11
369	5.11
370	4.00
371	5.56
372	6.44
373	2.22
374	2.44
375	4.44
376	2.00
377	3.56
378	1.56
379	6.44
380	4.67
381	2.00
382	3.78
383	4.00
384	2.67
385	3.56
386	7.33
387	4.67
388	5.33
389	5.78
390	4.44
391	2.67
392	6.67
393	2.67
394	3.56
395	6.67
396	0.89
397	2.89
398	3.33
399	5.11
400	3.11
401	4.67
402	5.33
403	6.22
404	5.56
405	4.00
406	3.11
407	3.11
408	3.78
409	5.33
410	4.00
411	2.00
412	5.11
413	3.78
414	7.11
415	3.11
416	5.33
417	4.67
418	5.33
419	4.67
420	4.67
421	2.22
422	4.89
423	2.44
424	4.00
425	5.78
426	3.78
427	5.11
428	4.67
429	4.00
430	5.56
431	2.44
432	4.44
433	3.78
434	5.78
435	3.78
436	5.33
437	4.00
438	6.00
439	2.44
440	4.67
441	6.67
442	3.11
443	4.44
444	3.78
445	6.22
446	5.56
447	5.78
448	4.22
449	1.78
450	1.11
451	3.33
452	4.67
453	4.67
454	5.11
455	4.67
456	5.11
457	6.00
458	5.11
459	2.44
460	3.33
461	5.56
